P&ID_number,Type,Symbol_Class,Prefix,Q_id,Question,GT,Cypher
147,Value-Based,7,MN,6,Give me the class 7 symbols' tags that begin with MN,"['MN-66784', 'MN-30590', 'MN-15213', 'MN-04933']","MATCH (s:Symbol) 
WHERE s.class = 7 AND s.tag STARTS WITH MN 
RETURN s.tag"
147,Value-Based,6,KL,13,Find all tags of 6 symbols that begin with KL,"['KL-20597', 'KL-64196', 'KL-65088', 'KL-53041', 'KL-23867', 'KL-89205']","MATCH (s:Symbol) 
WHERE s.class = 6 AND s.tag STARTS WITH KL 
RETURN s.tag"
147,Value-Based,4,GH,12,Which tags of class 4 starts with GH?,"['GH-90784', 'GH-75951', 'GH-18647', 'GH-21465', 'GH-70737']","MATCH (s:Symbol) 
WHERE s.class = 4 AND s.tag STARTS WITH GH 
RETURN s.tag"
147,Value-Based,5,IJ,13,Find all tags of 5 symbols that begin with IJ,"['IJ-46311', 'IJ-52356', 'IJ-62957', 'IJ-11930']","MATCH (s:Symbol) 
WHERE s.class = 5 AND s.tag STARTS WITH IJ 
RETURN s.tag"
147,Value-Based,2,CD,3,Enlist all class 2 symbols tags that start with CD?,"['CD-25951', 'CD-84895', 'CD-03078', 'CD-15993', 'CD-16741', 'CD-95728', 'CD-03566']","MATCH (s:Symbol) 
WHERE s.class = 2 AND s.tag STARTS WITH CD 
RETURN s.tag"
147,Value-Based,1,AB,19,Give me a list of tags belonging to class 1 symbols that start with AB,"['AB-38713', 'AB-72235', 'AB-99019']","MATCH (s:Symbol) 
WHERE s.class = 1 AND s.tag STARTS WITH AB 
RETURN s.tag"
147,Value-Based,31,ZLO,2,Provide list of all class 31 symbols tags which begins with ZLO,['ZLO 716'],"MATCH (s:Symbol) 
WHERE s.class = 31 AND s.tag STARTS WITH ZLO 
RETURN s.tag"
147,Value-Based,11,UV,20,Enlist all class 11 symbols where the tag prefix matches UV,"['UV-11530', 'UV-24446']","MATCH (s:Symbol) 
WHERE s.class = 11 AND s.tag STARTS WITH UV 
RETURN s.tag"
147,Value-Based,28,SDL,10,Can you return a list of class 28 symbols tags beginning with SDL?,"['SDL 212', 'SDL 327', 'SDL 434', 'SDL 203', 'SDL 429', 'SDL 412']","MATCH (s:Symbol) 
WHERE s.class = 28 AND s.tag STARTS WITH SDL 
RETURN s.tag"
147,Value-Based,13,AV,3,Enlist all class 13 symbols tags that start with AV?,"['AV-35071', 'AV-90340', 'AV-65621']","MATCH (s:Symbol) 
WHERE s.class = 13 AND s.tag STARTS WITH AV 
RETURN s.tag"
147,Value-Based,3,EF,16,Enlist all the tags of class 3 symbols with EF as starting in their tags?,"['EF-19101', 'EF-16055', 'EF-63924']","MATCH (s:Symbol) 
WHERE s.class = 3 AND s.tag STARTS WITH EF 
RETURN s.tag"
147,Value-Based,30,STA,11,Provide the list of 30 symbols' tags having STA in the beginning,"['STA', 'STA']","MATCH (s:Symbol) 
WHERE s.class = 30 AND s.tag STARTS WITH STA 
RETURN s.tag"
147,Value-Based,31,ZLC,15,List the tags for 31 symbols whose tags start from ZLC,,"MATCH (s:Symbol) 
WHERE s.class = 31 AND s.tag STARTS WITH ZLC 
RETURN s.tag"
147,Value-Based,28,SDL,12,Which tags of class 28 starts with SDL?,"['SDL 212', 'SDL 327', 'SDL 434', 'SDL 203', 'SDL 429', 'SDL 412']","MATCH (s:Symbol) 
WHERE s.class = 28 AND s.tag STARTS WITH SDL 
RETURN s.tag"
147,Value-Based,31,ZLO,3,Enlist all class 31 symbols tags that start with ZLO?,['ZLO 716'],"MATCH (s:Symbol) 
WHERE s.class = 31 AND s.tag STARTS WITH ZLO 
RETURN s.tag"
147,Value-Based,22,CS,9,"Given the start of tag CS, find all the tags of class 22  that satisifies the condition","['CS-71', 'CS-68', 'CS-80', 'CS-21', 'CS-51']","MATCH (s:Symbol) 
WHERE s.class = 22 AND s.tag STARTS WITH CS 
RETURN s.tag"
147,Value-Based,4,GH,2,Provide list of all class 4 symbols tags which begins with GH,"['GH-90784', 'GH-75951', 'GH-18647', 'GH-21465', 'GH-70737']","MATCH (s:Symbol) 
WHERE s.class = 4 AND s.tag STARTS WITH GH 
RETURN s.tag"
147,Value-Based,27,RO,10,Can you return a list of class 27 symbols tags beginning with RO?,"['RO-10 913', 'RO-10 641', 'RO-10 249', 'RO-10 590', 'RO-10 767']","MATCH (s:Symbol) 
WHERE s.class = 27 AND s.tag STARTS WITH RO 
RETURN s.tag"
147,Value-Based,7,MN,19,Give me a list of tags belonging to class 7 symbols that start with MN,"['MN-66784', 'MN-30590', 'MN-15213', 'MN-04933']","MATCH (s:Symbol) 
WHERE s.class = 7 AND s.tag STARTS WITH MN 
RETURN s.tag"
147,Value-Based,22,CS,1,Can you give me a list of class 22 symbols' tags that starts with CS?,"['CS-71', 'CS-68', 'CS-80', 'CS-21', 'CS-51']","MATCH (s:Symbol) 
WHERE s.class = 22 AND s.tag STARTS WITH CS 
RETURN s.tag"
148,Value-Based,27,RO,2,Provide list of all class 27 symbols tags which begins with RO,"['RO-10 344', 'RO-10 611', 'RO-10 563']","MATCH (s:Symbol) 
WHERE s.class = 27 AND s.tag STARTS WITH RO 
RETURN s.tag"
148,Value-Based,4,GH,17,Return all tags for symbols of class 4 with tags beginning with GH,"['GH-48478', 'GH-40059', 'GH-49695', 'GH-97223', 'GH-41949', 'GH-77306', 'GH-33873', 'GH-85039']","MATCH (s:Symbol) 
WHERE s.class = 4 AND s.tag STARTS WITH GH 
RETURN s.tag"
148,Value-Based,9,QR,5,Enumerate tags for 9 symbols that starts with QR as prefix?,"['QR-86617', 'QR-41440']","MATCH (s:Symbol) 
WHERE s.class = 9 AND s.tag STARTS WITH QR 
RETURN s.tag"
148,Value-Based,4,GH,20,Enlist all class 4 symbols where the tag prefix matches GH,"['GH-48478', 'GH-40059', 'GH-49695', 'GH-97223', 'GH-41949', 'GH-77306', 'GH-33873', 'GH-85039']","MATCH (s:Symbol) 
WHERE s.class = 4 AND s.tag STARTS WITH GH 
RETURN s.tag"
148,Value-Based,22,CS,15,List the tags for 22 symbols whose tags start from CS,['CS-93'],"MATCH (s:Symbol) 
WHERE s.class = 22 AND s.tag STARTS WITH CS 
RETURN s.tag"
148,Value-Based,1,AB,7,Fetch all class 1 symbols tags that is prefix with AB,"['AB-19334', 'AB-44415', 'AB-08478', 'AB-37462']","MATCH (s:Symbol) 
WHERE s.class = 1 AND s.tag STARTS WITH AB 
RETURN s.tag"
148,Value-Based,11,UV,16,Enlist all the tags of class 11 symbols with UV as starting in their tags?,"['UV-52410', 'UV-20784']","MATCH (s:Symbol) 
WHERE s.class = 11 AND s.tag STARTS WITH UV 
RETURN s.tag"
148,Value-Based,30,STA,12,Which tags of class 30 starts with STA?,"['STA', 'STA', 'STA', 'STA', 'STA', 'STA', 'STA']","MATCH (s:Symbol) 
WHERE s.class = 30 AND s.tag STARTS WITH STA 
RETURN s.tag"
148,Value-Based,31,ZLC,6,Give me the class 31 symbols' tags that begin with ZLC,"['ZLC 502', 'ZLC 148', 'ZLC 944', 'ZLC 343']","MATCH (s:Symbol) 
WHERE s.class = 31 AND s.tag STARTS WITH ZLC 
RETURN s.tag"
148,Value-Based,31,ZLO,13,Find all tags of 31 symbols that begin with ZLO,['ZLO 775'],"MATCH (s:Symbol) 
WHERE s.class = 31 AND s.tag STARTS WITH ZLO 
RETURN s.tag"
148,Value-Based,8,OP,14,Can you extract all tags from class 8 symbols having OP in the start?,"['OP-84429', 'OP-46227']","MATCH (s:Symbol) 
WHERE s.class = 8 AND s.tag STARTS WITH OP 
RETURN s.tag"
148,Value-Based,31,ZLO,8,What are the class 31 symbols with tags starting from ZLO?,['ZLO 775'],"MATCH (s:Symbol) 
WHERE s.class = 31 AND s.tag STARTS WITH ZLO 
RETURN s.tag"
148,Value-Based,23,INS,18,Can you list all the tags of class 23 symbols where tags start with INS?,"['INS ( -17°C )', 'INS ( 24°C )', 'INS ( -53°C )', 'INS ( 20°C )']","MATCH (s:Symbol) 
WHERE s.class = 23 AND s.tag STARTS WITH INS 
RETURN s.tag"
148,Value-Based,26,GLR,17,Return all tags for symbols of class 26 with tags beginning with GLR,,"MATCH (s:Symbol) 
WHERE s.class = 26 AND s.tag STARTS WITH GLR 
RETURN s.tag"
148,Value-Based,26,GI,13,Find all tags of 26 symbols that begin with GI,['GI 171'],"MATCH (s:Symbol) 
WHERE s.class = 26 AND s.tag STARTS WITH GI 
RETURN s.tag"
148,Value-Based,23,INS,6,Give me the class 23 symbols' tags that begin with INS,"['INS ( -17°C )', 'INS ( 24°C )', 'INS ( -53°C )', 'INS ( 20°C )']","MATCH (s:Symbol) 
WHERE s.class = 23 AND s.tag STARTS WITH INS 
RETURN s.tag"
148,Value-Based,12,WX,1,Can you give me a list of class 12 symbols' tags that starts with WX?,"['WX-54049', 'WX-97184', 'WX-60908']","MATCH (s:Symbol) 
WHERE s.class = 12 AND s.tag STARTS WITH WX 
RETURN s.tag"
148,Value-Based,2,CD,1,Can you give me a list of class 2 symbols' tags that starts with CD?,"['CD-81785', 'CD-70568', 'CD-70142', 'CD-03411']","MATCH (s:Symbol) 
WHERE s.class = 2 AND s.tag STARTS WITH CD 
RETURN s.tag"
148,Value-Based,1,AB,10,Can you return a list of class 1 symbols tags beginning with AB?,"['AB-19334', 'AB-44415', 'AB-08478', 'AB-37462']","MATCH (s:Symbol) 
WHERE s.class = 1 AND s.tag STARTS WITH AB 
RETURN s.tag"
148,Value-Based,15,DV,18,Can you list all the tags of class 15 symbols where tags start with DV?,"['DV-37318', 'DV-59371']","MATCH (s:Symbol) 
WHERE s.class = 15 AND s.tag STARTS WITH DV 
RETURN s.tag"
148,Value-Based,31,ZLO,18,Can you list all the tags of class 31 symbols where tags start with ZLO?,['ZLO 775'],"MATCH (s:Symbol) 
WHERE s.class = 31 AND s.tag STARTS WITH ZLO 
RETURN s.tag"
148,Value-Based,14,CV,9,"Given the start of tag CV, find all the tags of class 14  that satisifies the condition","['CV-09845', 'CV-49398', 'CV-59403', 'CV-45166']","MATCH (s:Symbol) 
WHERE s.class = 14 AND s.tag STARTS WITH CV 
RETURN s.tag"
148,Value-Based,13,AV,1,Can you give me a list of class 13 symbols' tags that starts with AV?,"['AV-40345', 'AV-13812', 'AV-18540', 'AV-31949', 'AV-63962']","MATCH (s:Symbol) 
WHERE s.class = 13 AND s.tag STARTS WITH AV 
RETURN s.tag"
148,Value-Based,11,UV,18,Can you list all the tags of class 11 symbols where tags start with UV?,"['UV-52410', 'UV-20784']","MATCH (s:Symbol) 
WHERE s.class = 11 AND s.tag STARTS WITH UV 
RETURN s.tag"
148,Value-Based,14,CV,7,Fetch all class 14 symbols tags that is prefix with CV,"['CV-09845', 'CV-49398', 'CV-59403', 'CV-45166']","MATCH (s:Symbol) 
WHERE s.class = 14 AND s.tag STARTS WITH CV 
RETURN s.tag"
148,Value-Based,16,RV,1,Can you give me a list of class 16 symbols' tags that starts with RV?,"['RV-63297', 'RV-53137']","MATCH (s:Symbol) 
WHERE s.class = 16 AND s.tag STARTS WITH RV 
RETURN s.tag"
148,Value-Based,30,STA,9,"Given the start of tag STA, find all the tags of class 30  that satisifies the condition","['STA', 'STA', 'STA', 'STA', 'STA', 'STA', 'STA']","MATCH (s:Symbol) 
WHERE s.class = 30 AND s.tag STARTS WITH STA 
RETURN s.tag"
148,Value-Based,29,DDL,17,Return all tags for symbols of class 29 with tags beginning with DDL,"['DDL 445', 'DDL 695']","MATCH (s:Symbol) 
WHERE s.class = 29 AND s.tag STARTS WITH DDL 
RETURN s.tag"
148,Value-Based,16,RV,9,"Given the start of tag RV, find all the tags of class 16  that satisifies the condition","['RV-63297', 'RV-53137']","MATCH (s:Symbol) 
WHERE s.class = 16 AND s.tag STARTS WITH RV 
RETURN s.tag"
148,Value-Based,2,CD,1,Can you give me a list of class 2 symbols' tags that starts with CD?,"['CD-81785', 'CD-70568', 'CD-70142', 'CD-03411']","MATCH (s:Symbol) 
WHERE s.class = 2 AND s.tag STARTS WITH CD 
RETURN s.tag"
148,Value-Based,16,RV,2,Provide list of all class 16 symbols tags which begins with RV,"['RV-63297', 'RV-53137']","MATCH (s:Symbol) 
WHERE s.class = 16 AND s.tag STARTS WITH RV 
RETURN s.tag"
148,Value-Based,30,STA,1,Can you give me a list of class 30 symbols' tags that starts with STA?,"['STA', 'STA', 'STA', 'STA', 'STA', 'STA', 'STA']","MATCH (s:Symbol) 
WHERE s.class = 30 AND s.tag STARTS WITH STA 
RETURN s.tag"
149,Value-Based,27,RO,17,Return all tags for symbols of class 27 with tags beginning with RO,"['RO-10 510', 'RO-10 739', 'RO-10 661']","MATCH (s:Symbol) 
WHERE s.class = 27 AND s.tag STARTS WITH RO 
RETURN s.tag"
149,Value-Based,27,RO,17,Return all tags for symbols of class 27 with tags beginning with RO,"['RO-10 510', 'RO-10 739', 'RO-10 661']","MATCH (s:Symbol) 
WHERE s.class = 27 AND s.tag STARTS WITH RO 
RETURN s.tag"
149,Value-Based,4,GH,14,Can you extract all tags from class 4 symbols having GH in the start?,"['GH-54347', 'GH-81180', 'GH-14109', 'GH-19871', 'GH-47412', 'GH-29542']","MATCH (s:Symbol) 
WHERE s.class = 4 AND s.tag STARTS WITH GH 
RETURN s.tag"
149,Value-Based,9,QR,18,Can you list all the tags of class 9 symbols where tags start with QR?,"['QR-65302', 'QR-61229', 'QR-25739', 'QR-34545', 'QR-49744', 'QR-03538']","MATCH (s:Symbol) 
WHERE s.class = 9 AND s.tag STARTS WITH QR 
RETURN s.tag"
149,Value-Based,8,OP,18,Can you list all the tags of class 8 symbols where tags start with OP?,"['OP-67111', 'OP-92916', 'OP-68010', 'OP-27563']","MATCH (s:Symbol) 
WHERE s.class = 8 AND s.tag STARTS WITH OP 
RETURN s.tag"
149,Value-Based,10,ST,2,Provide list of all class 10 symbols tags which begins with ST,"['ST-00333', 'ST-83298', 'ST-47375', 'ST-24611', 'ST-53454', 'ST-61603']","MATCH (s:Symbol) 
WHERE s.class = 10 AND s.tag STARTS WITH ST 
RETURN s.tag"
149,Value-Based,16,RV,14,Can you extract all tags from class 16 symbols having RV in the start?,"['RV-12205', 'RV-74075', 'RV-92576']","MATCH (s:Symbol) 
WHERE s.class = 16 AND s.tag STARTS WITH RV 
RETURN s.tag"
149,Value-Based,29,DDL,18,Can you list all the tags of class 29 symbols where tags start with DDL?,"['DDL 515', 'DDL 306', 'DDL 778', 'DDL 528', 'DDL 880', 'DDL 987', 'DDL 906']","MATCH (s:Symbol) 
WHERE s.class = 29 AND s.tag STARTS WITH DDL 
RETURN s.tag"
149,Value-Based,1,AB,19,Give me a list of tags belonging to class 1 symbols that start with AB,"['AB-20526', 'AB-69398', 'AB-91202']","MATCH (s:Symbol) 
WHERE s.class = 1 AND s.tag STARTS WITH AB 
RETURN s.tag"
149,Value-Based,11,UV,5,Enumerate tags for 11 symbols that starts with UV as prefix?,"['UV-47085', 'UV-19159', 'UV-93034', 'UV-25790', 'UV-15548', 'UV-93640']","MATCH (s:Symbol) 
WHERE s.class = 11 AND s.tag STARTS WITH UV 
RETURN s.tag"
149,Value-Based,28,SDL,10,Can you return a list of class 28 symbols tags beginning with SDL?,['SDL 791'],"MATCH (s:Symbol) 
WHERE s.class = 28 AND s.tag STARTS WITH SDL 
RETURN s.tag"
149,Value-Based,8,OP,5,Enumerate tags for 8 symbols that starts with OP as prefix?,"['OP-67111', 'OP-92916', 'OP-68010', 'OP-27563']","MATCH (s:Symbol) 
WHERE s.class = 8 AND s.tag STARTS WITH OP 
RETURN s.tag"
149,Value-Based,5,IJ,9,"Given the start of tag IJ, find all the tags of class 5  that satisifies the condition","['IJ-46010', 'IJ-29006']","MATCH (s:Symbol) 
WHERE s.class = 5 AND s.tag STARTS WITH IJ 
RETURN s.tag"
149,Value-Based,25,ERV,13,Find all tags of 25 symbols that begin with ERV,"['ERV-8-44', 'ERV-3-76', 'ERV-3-79']","MATCH (s:Symbol) 
WHERE s.class = 25 AND s.tag STARTS WITH ERV 
RETURN s.tag"
149,Value-Based,7,MN,17,Return all tags for symbols of class 7 with tags beginning with MN,"['MN-57526', 'MN-17124', 'MN-10165', 'MN-40711', 'MN-65251']","MATCH (s:Symbol) 
WHERE s.class = 7 AND s.tag STARTS WITH MN 
RETURN s.tag"
149,Value-Based,2,CD,15,List the tags for 2 symbols whose tags start from CD,"['CD-97967', 'CD-26592', 'CD-76210', 'CD-79948', 'CD-10158', 'CD-73130', 'CD-43475']","MATCH (s:Symbol) 
WHERE s.class = 2 AND s.tag STARTS WITH CD 
RETURN s.tag"
149,Value-Based,4,GH,3,Enlist all class 4 symbols tags that start with GH?,"['GH-54347', 'GH-81180', 'GH-14109', 'GH-19871', 'GH-47412', 'GH-29542']","MATCH (s:Symbol) 
WHERE s.class = 4 AND s.tag STARTS WITH GH 
RETURN s.tag"
149,Value-Based,4,GH,9,"Given the start of tag GH, find all the tags of class 4  that satisifies the condition","['GH-54347', 'GH-81180', 'GH-14109', 'GH-19871', 'GH-47412', 'GH-29542']","MATCH (s:Symbol) 
WHERE s.class = 4 AND s.tag STARTS WITH GH 
RETURN s.tag"
149,Value-Based,16,RV,8,What are the class 16 symbols with tags starting from RV?,"['RV-12205', 'RV-74075', 'RV-92576']","MATCH (s:Symbol) 
WHERE s.class = 16 AND s.tag STARTS WITH RV 
RETURN s.tag"
149,Value-Based,3,EF,15,List the tags for 3 symbols whose tags start from EF,"['EF-36354', 'EF-63392', 'EF-55908', 'EF-86282', 'EF-89674', 'EF-96607']","MATCH (s:Symbol) 
WHERE s.class = 3 AND s.tag STARTS WITH EF 
RETURN s.tag"
149,Value-Based,3,EF,16,Enlist all the tags of class 3 symbols with EF as starting in their tags?,"['EF-36354', 'EF-63392', 'EF-55908', 'EF-86282', 'EF-89674', 'EF-96607']","MATCH (s:Symbol) 
WHERE s.class = 3 AND s.tag STARTS WITH EF 
RETURN s.tag"
149,Value-Based,13,AV,1,Can you give me a list of class 13 symbols' tags that starts with AV?,"['AV-84966', 'AV-38361', 'AV-77799', 'AV-96190', 'AV-67252', 'AV-41021']","MATCH (s:Symbol) 
WHERE s.class = 13 AND s.tag STARTS WITH AV 
RETURN s.tag"
149,Value-Based,14,CV,13,Find all tags of 14 symbols that begin with CV,"['CV-75153', 'CV-26796', 'CV-60477', 'CV-11134', 'CV-35742', 'CV-08664']","MATCH (s:Symbol) 
WHERE s.class = 14 AND s.tag STARTS WITH CV 
RETURN s.tag"
149,Value-Based,7,MN,1,Can you give me a list of class 7 symbols' tags that starts with MN?,"['MN-57526', 'MN-17124', 'MN-10165', 'MN-40711', 'MN-65251']","MATCH (s:Symbol) 
WHERE s.class = 7 AND s.tag STARTS WITH MN 
RETURN s.tag"
149,Value-Based,7,MN,10,Can you return a list of class 7 symbols tags beginning with MN?,"['MN-57526', 'MN-17124', 'MN-10165', 'MN-40711', 'MN-65251']","MATCH (s:Symbol) 
WHERE s.class = 7 AND s.tag STARTS WITH MN 
RETURN s.tag"
149,Value-Based,13,AV,13,Find all tags of 13 symbols that begin with AV,"['AV-84966', 'AV-38361', 'AV-77799', 'AV-96190', 'AV-67252', 'AV-41021']","MATCH (s:Symbol) 
WHERE s.class = 13 AND s.tag STARTS WITH AV 
RETURN s.tag"
149,Value-Based,9,QR,11,Provide the list of 9 symbols' tags having QR in the beginning,"['QR-65302', 'QR-61229', 'QR-25739', 'QR-34545', 'QR-49744', 'QR-03538']","MATCH (s:Symbol) 
WHERE s.class = 9 AND s.tag STARTS WITH QR 
RETURN s.tag"
149,Value-Based,9,QR,5,Enumerate tags for 9 symbols that starts with QR as prefix?,"['QR-65302', 'QR-61229', 'QR-25739', 'QR-34545', 'QR-49744', 'QR-03538']","MATCH (s:Symbol) 
WHERE s.class = 9 AND s.tag STARTS WITH QR 
RETURN s.tag"
149,Value-Based,31,ZLC,9,"Given the start of tag ZLC, find all the tags of class 31  that satisifies the condition","['ZLC 855', 'ZLC 261', 'ZLC 406']","MATCH (s:Symbol) 
WHERE s.class = 31 AND s.tag STARTS WITH ZLC 
RETURN s.tag"
149,Value-Based,28,SDL,13,Find all tags of 28 symbols that begin with SDL,['SDL 791'],"MATCH (s:Symbol) 
WHERE s.class = 28 AND s.tag STARTS WITH SDL 
RETURN s.tag"
149,Value-Based,9,QR,8,What are the class 9 symbols with tags starting from QR?,"['QR-65302', 'QR-61229', 'QR-25739', 'QR-34545', 'QR-49744', 'QR-03538']","MATCH (s:Symbol) 
WHERE s.class = 9 AND s.tag STARTS WITH QR 
RETURN s.tag"
149,Value-Based,27,RO,6,Give me the class 27 symbols' tags that begin with RO,"['RO-10 510', 'RO-10 739', 'RO-10 661']","MATCH (s:Symbol) 
WHERE s.class = 27 AND s.tag STARTS WITH RO 
RETURN s.tag"
150,Value-Based,1,AB,15,List the tags for 1 symbols whose tags start from AB,"['AB-90165', 'AB-00351']","MATCH (s:Symbol) 
WHERE s.class = 1 AND s.tag STARTS WITH AB 
RETURN s.tag"
150,Value-Based,6,KL,13,Find all tags of 6 symbols that begin with KL,"['KL-83346', 'KL-17896', 'KL-69029', 'KL-57649', 'KL-96640']","MATCH (s:Symbol) 
WHERE s.class = 6 AND s.tag STARTS WITH KL 
RETURN s.tag"
150,Value-Based,28,SDL,8,What are the class 28 symbols with tags starting from SDL?,"['SDL 110', 'SDL 826', 'SDL 992']","MATCH (s:Symbol) 
WHERE s.class = 28 AND s.tag STARTS WITH SDL 
RETURN s.tag"
150,Value-Based,30,STA,20,Enlist all class 30 symbols where the tag prefix matches STA,"['STA', 'STA', 'STA']","MATCH (s:Symbol) 
WHERE s.class = 30 AND s.tag STARTS WITH STA 
RETURN s.tag"
150,Value-Based,28,SDL,6,Give me the class 28 symbols' tags that begin with SDL,"['SDL 110', 'SDL 826', 'SDL 992']","MATCH (s:Symbol) 
WHERE s.class = 28 AND s.tag STARTS WITH SDL 
RETURN s.tag"
150,Value-Based,16,RV,15,List the tags for 16 symbols whose tags start from RV,"['RV-26332', 'RV-66220', 'RV-03624', 'RV-89653', 'RV-48591', 'RV-11290']","MATCH (s:Symbol) 
WHERE s.class = 16 AND s.tag STARTS WITH RV 
RETURN s.tag"
150,Value-Based,23,INS,20,Enlist all class 23 symbols where the tag prefix matches INS,"['INS ( 35°C )', 'INS ( 43°C )', 'INS ( -17°C )']","MATCH (s:Symbol) 
WHERE s.class = 23 AND s.tag STARTS WITH INS 
RETURN s.tag"
150,Value-Based,5,IJ,9,"Given the start of tag IJ, find all the tags of class 5  that satisifies the condition","['IJ-54224', 'IJ-89077']","MATCH (s:Symbol) 
WHERE s.class = 5 AND s.tag STARTS WITH IJ 
RETURN s.tag"
150,Value-Based,14,CV,3,Enlist all class 14 symbols tags that start with CV?,"['CV-39420', 'CV-29012', 'CV-93196', 'CV-73372', 'CV-82721', 'CV-77878', 'CV-48605']","MATCH (s:Symbol) 
WHERE s.class = 14 AND s.tag STARTS WITH CV 
RETURN s.tag"
150,Value-Based,30,STA,6,Give me the class 30 symbols' tags that begin with STA,"['STA', 'STA', 'STA']","MATCH (s:Symbol) 
WHERE s.class = 30 AND s.tag STARTS WITH STA 
RETURN s.tag"
150,Value-Based,15,DV,8,What are the class 15 symbols with tags starting from DV?,"['DV-43946', 'DV-65810', 'DV-02800', 'DV-17021', 'DV-56286', 'DV-10010', 'DV-57305']","MATCH (s:Symbol) 
WHERE s.class = 15 AND s.tag STARTS WITH DV 
RETURN s.tag"
150,Value-Based,7,MN,6,Give me the class 7 symbols' tags that begin with MN,"['MN-14941', 'MN-39514', 'MN-30362', 'MN-10998', 'MN-26483']","MATCH (s:Symbol) 
WHERE s.class = 7 AND s.tag STARTS WITH MN 
RETURN s.tag"
150,Value-Based,4,GH,9,"Given the start of tag GH, find all the tags of class 4  that satisifies the condition","['GH-68206', 'GH-70070', 'GH-04374', 'GH-48840', 'GH-74936', 'GH-86134']","MATCH (s:Symbol) 
WHERE s.class = 4 AND s.tag STARTS WITH GH 
RETURN s.tag"
150,Value-Based,4,GH,14,Can you extract all tags from class 4 symbols having GH in the start?,"['GH-68206', 'GH-70070', 'GH-04374', 'GH-48840', 'GH-74936', 'GH-86134']","MATCH (s:Symbol) 
WHERE s.class = 4 AND s.tag STARTS WITH GH 
RETURN s.tag"
150,Value-Based,26,GRI,17,Return all tags for symbols of class 26 with tags beginning with GRI,,"MATCH (s:Symbol) 
WHERE s.class = 26 AND s.tag STARTS WITH GRI 
RETURN s.tag"
150,Value-Based,23,INS,12,Which tags of class 23 starts with INS?,"['INS ( 35°C )', 'INS ( 43°C )', 'INS ( -17°C )']","MATCH (s:Symbol) 
WHERE s.class = 23 AND s.tag STARTS WITH INS 
RETURN s.tag"
150,Value-Based,29,DDL,4,List all tag for symbols classified as 29 that have DDL in the start,"['DDL 516', 'DDL 326', 'DDL 820', 'DDL 323', 'DDL 763', 'DDL 958']","MATCH (s:Symbol) 
WHERE s.class = 29 AND s.tag STARTS WITH DDL 
RETURN s.tag"
150,Value-Based,23,INS,19,Give me a list of tags belonging to class 23 symbols that start with INS,"['INS ( 35°C )', 'INS ( 43°C )', 'INS ( -17°C )']","MATCH (s:Symbol) 
WHERE s.class = 23 AND s.tag STARTS WITH INS 
RETURN s.tag"
150,Value-Based,30,STA,13,Find all tags of 30 symbols that begin with STA,"['STA', 'STA', 'STA']","MATCH (s:Symbol) 
WHERE s.class = 30 AND s.tag STARTS WITH STA 
RETURN s.tag"
150,Value-Based,25,ERV,10,Can you return a list of class 25 symbols tags beginning with ERV?,"['ERV-4-57', 'ERV-3-28', 'ERV-2-35', 'ERV-6-38', 'ERV-1-26']","MATCH (s:Symbol) 
WHERE s.class = 25 AND s.tag STARTS WITH ERV 
RETURN s.tag"
150,Value-Based,29,DDL,17,Return all tags for symbols of class 29 with tags beginning with DDL,"['DDL 516', 'DDL 326', 'DDL 820', 'DDL 323', 'DDL 763', 'DDL 958']","MATCH (s:Symbol) 
WHERE s.class = 29 AND s.tag STARTS WITH DDL 
RETURN s.tag"
150,Value-Based,13,AV,6,Give me the class 13 symbols' tags that begin with AV,['AV-61680'],"MATCH (s:Symbol) 
WHERE s.class = 13 AND s.tag STARTS WITH AV 
RETURN s.tag"
150,Value-Based,11,UV,14,Can you extract all tags from class 11 symbols having UV in the start?,"['UV-13287', 'UV-84967', 'UV-72266', 'UV-23562', 'UV-47356']","MATCH (s:Symbol) 
WHERE s.class = 11 AND s.tag STARTS WITH UV 
RETURN s.tag"
150,Value-Based,16,RV,11,Provide the list of 16 symbols' tags having RV in the beginning,"['RV-26332', 'RV-66220', 'RV-03624', 'RV-89653', 'RV-48591', 'RV-11290']","MATCH (s:Symbol) 
WHERE s.class = 16 AND s.tag STARTS WITH RV 
RETURN s.tag"
150,Value-Based,12,WX,6,Give me the class 12 symbols' tags that begin with WX,"['WX-65928', 'WX-32708']","MATCH (s:Symbol) 
WHERE s.class = 12 AND s.tag STARTS WITH WX 
RETURN s.tag"
150,Value-Based,3,EF,8,What are the class 3 symbols with tags starting from EF?,"['EF-07696', 'EF-97151', 'EF-91444', 'EF-99468']","MATCH (s:Symbol) 
WHERE s.class = 3 AND s.tag STARTS WITH EF 
RETURN s.tag"
150,Value-Based,2,CD,10,Can you return a list of class 2 symbols tags beginning with CD?,"['CD-11093', 'CD-57622', 'CD-20340', 'CD-11056', 'CD-71734', 'CD-85758', 'CD-64954', 'CD-44715', 'CD-11264', 'CD-59701', 'CD-98248']","MATCH (s:Symbol) 
WHERE s.class = 2 AND s.tag STARTS WITH CD 
RETURN s.tag"
150,Value-Based,1,AB,5,Enumerate tags for 1 symbols that starts with AB as prefix?,"['AB-90165', 'AB-00351']","MATCH (s:Symbol) 
WHERE s.class = 1 AND s.tag STARTS WITH AB 
RETURN s.tag"
